0,1,2
72.034103,50.399895,230.835632
73.896553,49.800831,228.964005
73.983856,48.858044,228.131073
73.285439,48.101849,225.740128
72.945923,46.982285,226.690613
73.469742,48.406288,230.77681
75.176987,49.015175,235.940887
76.476822,48.229519,239.233368
75.206093,46.874256,232.25647
73.586143,44.978859,231.256973
72.645226,45.116348,227.513733
73.479446,45.489536,230.345657
74.245766,44.743164,231.913513
73.925652,45.096706,230.149673
74.168159,44.566391,226.004684
74.012955,43.662884,225.381256
74.129364,44.026257,223.267319
73.508545,43.162029,219.390167
73.042931,41.983547,217.130112
73.878311,44.389618,227.163925
75.232193,44.10482,227.59256
76.547676,43.427189,225.459167
81.166283,45.017178,238.834366
85.525612,46.480362,241.532776
83.826057,46.958332,244.026611
83.326744,47.592377,245.039734
84.507805,48.753162,249.394241
85.458405,48.850716,251.946518
84.853477,44.188042,245.838547
85.007103,44.392887,241.28923
84.786263,44.929386,239.944885
84.738251,44.626991,240.909317
83.682022,43.719822,241.766556
83.950882,43.388172,239.555237
84.498192,43.300377,241.698395
83.509186,42.081062,238.415466
84.0373,42.178608,238.152451
83.470779,42.344433,236.048264
82.654602,41.456776,234.908493
83.317139,42.549278,235.044876
83.672424,43.641788,233.593384
83.297935,43.641788,234.353241
83.36515,43.339394,232.541306
83.249924,44.149025,229.540878
81.646385,45.699993,229.550629
80.311699,45.026932,229.287613
80.676567,45.085461,229.628555
80.561348,44.978157,230.096146
80.638168,44.948895,229.365555
80.628563,45.553677,228.664124
80.513336,45.612206,228.71283
79.572334,46.39257,230.797546
79.159447,45.885334,232.229553
79.639549,45.124474,232.258789
79.725967,43.466206,231.84964
79.601143,42.198112,231.927567
79.812393,42.276154,232.930954
79.466713,42.266403,230.466339
79.725967,42.588295,233.116058
79.370697,42.285908,231.976288
79.265076,42.022537,234.09021
79.005806,42.383453,232.502335
79.591537,42.373699,232.102921
80.244476,43.397926,233.077072
80.138855,43.583263,234.918243
79.975624,43.739334,236.856812
78.996208,42.871178,231.859375
78.42009,43.632034,229.540878
77.88237,43.397926,227.953018
78.180031,43.651543,225.400726
77.872765,43.554001,225.595535
77.651924,43.836876,226.896042
77.344658,43.524734,224.375946
77.046989,43.534489,222.311401
77.354263,44.529453,222.369553
77.978394,44.344112,220.411652
78.9674,44.734295,222.282333
79.591537,44.626991,221.206451
79.639549,44.46117,220.460114
79.889198,45.163494,221.371216
79.413506,45.553677,222.766968
79.518166,45.631718,222.980209
79.679901,45.553677,223.232224
79.137604,44.936703,225.083527
79.470589,45.673687,225.093201
79.794067,45.295498,223.106216
79.299339,44.112446,223.115906
79.480103,43.026356,223.92041
79.641846,43.055454,227.526093
79.413506,40.097813,225.781387
79.12809,39.545071,230.375717
79.413506,39.709923,227.438843
79.194687,39.593559,214.741425
79.071007,39.205673,214.518494
78.718979,38.875969,212.502426
78.738007,39.03112,211.56221
78.928284,38.585052,211.058182
78.785583,38.555962,211.998398
78.405029,38.468685,211.029129
78.424049,38.00322,210.903122
78.585785,38.109894,209.856308
78.262314,38.449291,210.088943
78.04348,38.652935,210.021072
77.739029,38.429901,209.866013
78.033974,38.332924,209.720612
77.815147,38.148678,209.866013
77.786606,38.187466,207.975937
77.662918,37.857765,206.221542
77.995926,36.926838,203.449448
78.195717,36.68441,203.110214
77.472641,36.403191,203.042358
76.9589,36.335308,204.544708
77.044518,36.034695,204.253937
76.036026,36.054092,204.28302
76.007484,36.073486,203.972855
76.635422,35.947418,204.04071
76.321457,36.102577,206.996964
76.197762,35.879543,207.190826
76.178741,35.879543,206.793427
76.197762,35.37529,204.932419
75.893318,35.229832,203.052048
75.636444,34.997101,203.197433
75.39859,34.686787,203.119904
74.989494,34.124352,199.36882
75.189285,34.463757,198.176636
74.951439,34.67709,195.840683
73.429192,33.959503,194.803574
72.848824,34.027386,197.304291
72.620491,34.007988,198.040939
72.401672,33.833439,197.430298
72.734665,33.678288,196.683945
72.753693,33.600708,196.238083
72.991547,33.620098,195.918228
72.620491,33.658886,195.908539
